,index,Results,GAME_DATE,HOME,AWAY,Odds1,Odds2,Score,prediction
169,13765,1.0,2022-01-30,CHI,POR,1.51,2.69,130:116,0.48516881465911865
170,10829,1.0,2019-01-18,POR,NOP,1.66,2.3,128:112,0.5805633664131165
171,5588,0.0,2014-02-05,NYK,POR,2.24,1.69,90:94,0.6702111959457397
172,11816,1.0,2020-01-14,ATL,PHX,2.14,1.75,123:110,0.4192653000354767
173,995,0.0,2009-04-11,MIN,PHX,2.09,1.77,97:110,0.47577106952667236
174,3494,1.0,2012-03-02,ATL,MIL,1.53,2.58,99:94,0.5008509159088135
175,1132,0.0,2009-12-03,GSW,HOU,2.17,1.71,109:111,0.4837341904640198
176,8746,0.0,2017-01-25,NOP,OKC,2.03,1.83,105:114,0.7229297161102295
177,7459,0.0,2015-12-29,DEN,CLE,3.27,1.37,87:93,0.4281883239746094
178,5228,0.0,2013-12-18,BKN,WAS,1.51,2.68,107:113,0.49218741059303284
179,10707,1.0,2019-01-02,BKN,NOP,2.05,1.82,126:121,0.567463755607605
180,213,1.0,2008-12-19,HOU,SAC,1.07,8.5,107:96,0.8025565147399902
181,5319,0.0,2013-12-31,CHI,TOR,1.86,1.98,79:85,0.46519678831100464
182,11607,1.0,2019-12-14,MEM,WAS,1.84,2.02,128:111,0.6025030016899109
183,743,0.0,2009-03-08,TOR,UTA,2.67,1.49,101:109,0.4215800166130066
184,8831,0.0,2017-02-13,CHA,PHI,1.29,3.81,99:105,0.7336869239807129
185,4489,1.0,2013-02-02,POR,UTA,1.56,2.53,105:99,0.6512675881385803
186,9158,0.0,2017-04-02,NYK,BOS,3.78,1.3,94:110,0.4448946416378021
187,9264,0.0,2017-11-11,DAL,CLE,3.03,1.41,104:111,0.4747982919216156
188,5674,1.0,2014-02-21,DET,ATL,1.56,2.52,115:107,0.669256329536438
189,5186,1.0,2013-12-12,POR,HOU,1.72,2.18,111:104,0.5123994946479797
190,1284,0.0,2009-12-23,SAS,POR,1.1,7.79,94:98,0.7161633372306824
191,2752,0.0,2011-02-22,GSW,BOS,2.61,1.52,93:115,0.49969482421875
192,2913,1.0,2011-03-15,IND,NYK,2.72,1.48,119:117,0.5094687938690186
193,5990,1.0,2014-04-04,CHI,MIL,1.11,7.23,102:90,0.7889875173568726
194,1369,1.0,2010-01-06,CLE,WAS,1.05,11.2,121:98,0.8458536863327026
195,2213,1.0,2010-12-04,CHI,HOU,1.32,3.53,119:116 ,0.6111280918121338
196,4072,0.0,2012-12-08,CLE,DET,2.0,1.84,97:104,0.4826623797416687
197,6059,0.0,2014-04-13,LAL,MEM,7.37,1.11,90:102,0.45296305418014526
198,8679,1.0,2017-01-16,WAS,POR,1.6,2.45,120:101,0.6757057309150696
199,11789,1.0,2020-01-10,MEM,SAS,1.93,1.92,134:121,0.4708229899406433
200,5469,0.0,2014-01-20,GSW,IND,1.84,1.99,94:102,0.49646496772766113
201,4745,1.0,2013-03-13,DEN,NYK,1.21,4.63,117:94,0.6418235898017883
202,10725,1.0,2019-01-04,MIL,ATL,1.09,8.4,144:112,0.8186948299407959
203,3753,0.0,2012-04-02,OKC,MEM,1.28,3.86,88:94,0.8153736591339111
204,6239,1.0,2014-12-09,NOP,NYK,1.38,3.22,104:93,0.7358528971672058
205,13671,1.0,2022-01-17,LAL,UTA,2.8,1.48,101:95,0.44015562534332275
206,4294,0.0,2013-01-07,SAC,MEM,2.47,1.59,81:113,0.4628433585166931
207,13891,1.0,2022-02-16,IND,WAS,1.89,1.96,113:108,0.45066383481025696
208,12049,1.0,2020-02-21,TOR,PHX,1.28,3.84,118:101,0.7167708277702332
209,1827,1.0,2010-03-12,DET,WAS,1.36,3.24,101:87,0.6186610460281372
210,6734,1.0,2015-02-20,MIN,PHX,1.8,2.06,111:109,0.4494553506374359
211,11974,0.0,2020-02-05,DAL,MEM,1.55,2.55,107:121,0.5732361674308777
212,10399,1.0,2018-11-19,PHI,PHX,1.12,6.82,119:114,0.821419894695282
213,2198,0.0,2010-12-02,CLE,MIA,2.95,1.42,90:118,0.4266867935657501
214,3101,0.0,2011-04-10,GSW,SAC,1.4,3.03,103:104,0.7288492918014526
215,7774,1.0,2016-02-09,GSW,HOU,1.06,11.38,123:110,0.7770861387252808
216,1087,1.0,2009-11-27,CHA,CLE,2.92,1.42,94:87,0.47472262382507324
217,276,1.0,2008-12-29,UTA,PHI,1.37,3.2,112:95,0.6447488069534302
218,2563,1.0,2011-01-23,DEN,IND,1.17,5.28,121:107,0.7849429845809937
219,10847,0.0,2019-01-21,CLE,CHI,2.19,1.72,88:104,0.3483964204788208
220,7603,1.0,2016-01-17,OKC,MIA,1.18,5.21,99:74,0.7093571424484253
221,11908,0.0,2020-01-26,ORL,LAC,2.33,1.64,97:112,0.4875716269016266
