,index,Results,GAME_DATE,HOME,AWAY,Odds1,Odds2,Score,prediction
210,6734,1.0,2015-02-20,MIN,PHX,1.8,2.06,111:109,0.4563562273979187
211,11974,0.0,2020-02-05,DAL,MEM,1.55,2.55,107:121,0.6138828992843628
212,10399,1.0,2018-11-19,PHI,PHX,1.12,6.82,119:114,0.8256956338882446
213,2198,0.0,2010-12-02,CLE,MIA,2.95,1.42,90:118,0.2946223020553589
214,3101,0.0,2011-04-10,GSW,SAC,1.4,3.03,103:104,0.7420141696929932
215,7774,1.0,2016-02-09,GSW,HOU,1.06,11.38,123:110,0.7202130556106567
216,1087,1.0,2009-11-27,CHA,CLE,2.92,1.42,94:87,0.4433428943157196
217,276,1.0,2008-12-29,UTA,PHI,1.37,3.2,112:95,0.6327099800109863
218,2563,1.0,2011-01-23,DEN,IND,1.17,5.28,121:107,0.7021757364273071
219,10847,0.0,2019-01-21,CLE,CHI,2.19,1.72,88:104,0.3387224078178406
220,7603,1.0,2016-01-17,OKC,MIA,1.18,5.21,99:74,0.7019073367118835
221,11908,0.0,2020-01-26,ORL,LAC,2.33,1.64,97:112,0.45071882009506226
222,967,0.0,2009-04-08,GSW,MIN,1.36,3.27,97:105,0.584062397480011
223,5717,1.0,2014-02-26,POR,BKN,1.81,2.05,124:80,0.5963324904441833
224,1102,1.0,2009-11-29,DET,ATL,3.27,1.35,94:88,0.477602481842041
225,2609,1.0,2011-01-29,MIN,TOR,1.49,2.7,103:87,0.6803696155548096
226,13623,1.0,2022-01-11,CHI,DET,1.09,8.76,133:87,0.8068050742149353
227,12387,1.0,2021-01-30,CHA,MIL,4.42,1.23,126:114,0.19227418303489685
228,5242,1.0,2013-12-20,CLE,MIL,1.27,4.0,114:111 ,0.7454766035079956
229,4441,1.0,2013-01-27,LAL,OKC,2.41,1.61,105:96,0.367146372795105
230,12205,1.0,2020-08-02,HOU,MIL,2.7,1.5,120:116,0.41279810667037964
231,10094,1.0,2018-03-13,UTA,DET,1.24,4.29,110:79,0.8217424154281616
232,9004,1.0,2017-03-13,SAC,ORL,2.09,1.79,120:115,0.47927677631378174
233,10728,0.0,2019-01-04,POR,OKC,1.88,1.96,109:111,0.4516620337963104
234,8912,0.0,2017-03-01,SAC,BKN,1.72,2.2,100:109,0.8152965307235718
235,2249,1.0,2010-12-08,SAC,WAS,1.54,2.56,116:91,0.5172324776649475
236,4382,1.0,2013-01-19,LAC,WAS,1.08,8.86,94:87,0.8879116773605347
237,2252,1.0,2010-12-09,DAL,BKN,1.13,6.23,102:89,0.9013360738754272
238,11546,0.0,2019-12-06,CLE,ORL,2.68,1.5,87:93,0.27559512853622437
239,10618,1.0,2018-12-19,TOR,IND,1.54,2.59,99:96,0.632068932056427
240,12799,0.0,2021-03-29,SAS,SAC,1.73,2.17,115:132,0.46999189257621765
241,6228,0.0,2014-12-08,BKN,CLE,4.26,1.24,88:110,0.3705510199069977
242,13692,0.0,2022-01-19,WAS,BKN,1.89,1.94,118:119,0.46905937790870667
243,1296,1.0,2009-12-26,MIN,WAS,2.15,1.74,101:89,0.3852193355560303
244,7337,1.0,2015-12-12,CHI,NOP,1.31,3.67,98:94,0.6501044034957886
245,5566,1.0,2014-02-02,BOS,ORL,1.38,3.19,96:89,0.6518380641937256
246,8793,0.0,2017-02-01,DEN,MEM,2.51,1.58,99:119,0.529987633228302
247,6063,0.0,2014-04-14,ATL,CHA,2.68,1.5,93:95,0.57500821352005
248,1931,1.0,2010-03-25,POR,DAL,1.6,2.4,101:89,0.6869529485702515
249,13882,0.0,2022-02-15,MIA,DAL,1.5,2.74,99:107,0.525524377822876
250,8897,0.0,2017-02-27,PHI,GSW,11.06,1.06,108:119,0.29736649990081787
251,3458,1.0,2012-02-22,LAC,DEN,1.21,4.57,103:95,0.6468778252601624
252,5159,0.0,2013-12-08,LAL,TOR,1.36,3.26,94:106,0.5659414529800415
253,7153,0.0,2015-04-15,MIN,OKC,11.33,1.06,113:138,0.4437177777290344
254,9707,1.0,2018-01-12,WAS,ORL,1.15,6.08,125:119,0.845753014087677
255,5592,1.0,2014-02-05,SAC,TOR,1.9,1.93,109:101,0.4527409076690674
256,2145,1.0,2010-11-25,ATL,WAS,1.3,3.66,116:96,0.7034358978271484
257,328,1.0,2009-01-06,PHI,HOU,2.15,1.7,104:96,0.5974510908126831
258,10998,1.0,2019-02-11,MIN,LAC,1.6,2.44,130:120,0.6914119124412537
259,10157,0.0,2018-03-22,ORL,PHI,4.04,1.27,98:118,0.3212822675704956
260,2021,1.0,2010-04-07,HOU,UTA,2.63,1.51,113:96,0.375396728515625
261,9704,1.0,2018-01-12,MIN,NYK,1.23,4.38,118:108,0.8718968629837036
262,5783,1.0,2014-03-07,NYK,UTA,1.33,3.49,108:81,0.6711215376853943
263,824,1.0,2009-03-20,BKN,MIA,2.03,1.85,96:88,0.6271032094955444
264,1667,0.0,2010-02-19,GSW,UTA,2.76,1.47,89:100,0.40983718633651733
265,11594,0.0,2019-12-13,ATL,IND,3.01,1.41,100:110,0.27551981806755066
266,5098,0.0,2013-11-29,TOR,MIA,3.16,1.39,83:90,0.27677369117736816
267,1756,1.0,2010-03-02,LAL,IND,1.1,7.45,122:99,0.7496162056922913
268,5683,1.0,2014-02-22,CHA,MEM,2.28,1.67,92:89,0.662075400352478
269,10650,1.0,2018-12-25,BOS,PHI,1.5,2.71,121:114 ,0.6512120962142944
270,3006,1.0,2011-03-28,CHA,MIL,1.96,1.86,87:86,0.5901614427566528
271,11818,0.0,2020-01-14,GSW,DAL,3.84,1.28,97:124,0.3165494203567505
272,1224,0.0,2009-12-16,MIL,LAL,2.85,1.44,106:107 ,0.4262464642524719
273,10202,1.0,2018-03-28,PHI,NYK,1.07,10.51,118:101,0.8105449080467224
274,5691,0.0,2014-02-23,DEN,SAC,1.45,2.86,95:109,0.5950502753257751
275,6948,1.0,2015-03-20,CLE,IND,1.15,5.82,95:92,0.7113140821456909
276,6444,1.0,2015-01-05,PHI,CLE,2.69,1.5,95:92,0.2734997272491455
277,13221,1.0,2021-11-14,LAL,SAS,1.73,2.17,114:106,0.46795523166656494
278,623,1.0,2009-02-21,DAL,SAC,1.06,9.45,116:95,0.8438587188720703
279,8133,0.0,2016-04-03,BKN,NOP,1.71,2.22,87:106,0.45601290464401245
280,10402,0.0,2018-11-20,NYK,POR,3.39,1.34,114:118,0.307536244392395
281,11427,1.0,2019-11-19,LAL,OKC,1.16,5.63,112:107,0.7668735980987549
282,11923,1.0,2020-01-28,PHI,GSW,1.09,8.05,115:104,0.7966700792312622
283,245,0.0,2008-12-25,PHX,SAS,1.72,2.12,90:91,0.4334834814071655
284,337,1.0,2009-01-07,POR,DET,1.7,2.15,84:83,0.7051085829734802
285,11402,0.0,2019-11-15,GSW,BOS,3.41,1.34,100:105,0.17947694659233093
286,7275,1.0,2015-12-04,DET,MIL,1.36,3.31,102:95,0.6841753125190735
287,11661,0.0,2019-12-21,SAS,LAC,3.41,1.34,109:134,0.3498544692993164
288,5561,0.0,2014-02-01,NYK,MIA,2.73,1.49,91:106,0.5807260274887085
289,1800,1.0,2010-03-08,CLE,SAS,1.44,2.85,97:95,0.8160444498062134
290,9147,1.0,2017-04-01,CHI,ATL,1.45,2.89,106:104,0.5381828546524048
291,5394,1.0,2014-01-10,MEM,PHX,1.66,2.3,104:99,0.4798595607280731
292,6907,1.0,2015-03-14,WAS,SAC,1.17,5.3,113:97,0.7540864944458008
293,485,1.0,2009-01-30,ATL,BKN,1.29,3.64,105:88,0.6771613359451294
294,5690,0.0,2014-02-23,CLE,WAS,2.03,1.81,83:96,0.5283207893371582
295,1778,1.0,2010-03-05,DAL,SAC,1.22,4.46,108:100,0.8233404755592346
296,5045,0.0,2013-11-22,MEM,SAS,2.01,1.84,86:102,0.38207751512527466
297,8909,0.0,2017-03-01,MIL,DEN,1.55,2.58,98:110,0.6432849764823914
298,1598,0.0,2010-02-05,NOP,PHI,1.71,2.18,94:101,0.2706952691078186
299,4788,1.0,2013-03-18,PHI,POR,1.86,1.97,101:100,0.47815990447998047
300,9952,0.0,2018-02-22,SAC,OKC,4.01,1.27,107:110,0.3630933165550232
301,6157,0.0,2014-11-28,LAL,MIN,1.42,2.92,119:120,0.6870847940444946
302,10727,0.0,2019-01-04,PHX,LAC,2.63,1.51,111:121,0.46399179100990295
303,9650,0.0,2018-01-05,DAL,CHI,1.57,2.53,124:127,0.7863295674324036
304,2737,1.0,2011-02-16,DAL,SAC,1.11,7.01,116:100,0.7325339317321777
305,6099,0.0,2014-10-29,NYK,CHI,2.64,1.52,80:104,0.698817253112793
306,619,0.0,2009-02-20,MIN,IND,1.74,2.14,105:112,0.5232793092727661
307,12887,0.0,2021-04-09,ORL,IND,3.06,1.41,106:111,0.39698612689971924
308,14127,1.0,2022-03-26,DEN,OKC,1.05,12.17,113:107,0.7089201211929321
